;vertex;edge;sccs;mem_sw;mem_peak;mem_algorithm (byte);algorithm
209;10000;999999;1;36462592;39690240;3227648;pearce1
210;10000;20000000;1;434659328;438013952;3354624;nuutila2
211;10000;69999998;1;1335816192;1339170816;3354624;nuutila2
212;10000;999999;1;40931328;44273664;3342336;nuutila2
213;10000;20000000;1;422420480;425672704;3252224;nuutila1
214;10000;69999998;1;1336139776;1339400192;3260416;nuutila1
215;10000;999999;1;36409344;39677952;3268608;nuutila1
216;10000;20000000;1;425164800;428089344;2924544;pearce2
217;10000;69999998;1;1333547008;1336475648;2928640;pearce2
218;10000;999999;1;39698432;42610688;2912256;pearce2
219;10000;20000000;1;427425792;429821952;2396160;tarjan
220;10000;69999998;1;1336676352;1338826752;2150400;tarjan
221;10000;999999;1;36499456;38866944;2367488;tarjan
222;10000;20000000;1;427872256;428531712;659456;nuutila2_iterative
223;10000;69999998;1;1325211648;1325834240;622592;nuutila2_iterative
224;10000;999999;1;38535168;39079936;544768;nuutila2_iterative
225;10000;20000000;1;422473728;423149568;675840;pearce2_iterative
226;10000;69999998;1;1338163200;1338822656;659456;pearce2_iterative
227;10000;999999;1;33845248;34504704;659456;pearce2_iterative
228;10000;20000000;1;439459840;441401344;1941504;boost
229;10000;69999998;1;1318760448;1320464384;1703936;boost
230;10000;999999;1;42639360;44335104;1695744;boost
231;10000;20000000;1;423182336;423821312;638976;nuutila1_iterative
232;10000;69999998;1;1332084736;1332727808;643072;nuutila1_iterative
233;10000;999999;1;39092224;39841792;749568;nuutila1_iterative
234;10000;20000000;1;427368448;430624768;3256320;pearce1
235;10000;69999998;1;1340776448;1344040960;3264512;pearce1
236;10000;999999;1;36986880;40173568;3186688;pearce1
237;10000;20000000;1;422051840;425406464;3354624;nuutila2
238;10000;69999998;1;1332166656;1335521280;3354624;nuutila2
239;10000;999999;1;39260160;42565632;3305472;nuutila2
240;10000;20000000;1;421576704;424828928;3252224;nuutila1
241;10000;69999998;1;1344286720;1347547136;3260416;nuutila1
242;10000;999999;1;41435136;44699648;3264512;nuutila1
243;10000;20000000;1;424169472;427134976;2965504;pearce2
244;10000;69999998;1;1335128064;1338064896;2936832;pearce2
245;10000;999999;1;37023744;39895040;2871296;pearce2
246;10000;20000000;1;424751104;427147264;2396160;tarjan
247;10000;69999998;1;1334718464;1336881152;2162688;tarjan
248;10000;999999;1;38293504;40431616;2138112;tarjan
249;10000;20000000;1;421318656;421953536;634880;nuutila2_iterative
250;10000;69999998;1;1322827776;1323446272;618496;nuutila2_iterative
251;10000;999999;1;39104512;39792640;688128;nuutila2_iterative
252;10000;20000000;1;419729408;420384768;655360;pearce2_iterative
253;10000;69999998;1;1335050240;1335705600;655360;pearce2_iterative
254;10000;999999;1;38952960;39587840;634880;pearce2_iterative
255;10000;20000000;1;420831232;422535168;1703936;boost
256;10000;69999998;1;1334775808;1336483840;1708032;boost
257;10000;999999;1;40054784;42053632;1998848;boost
258;10000;20000000;1;420392960;421052416;659456;nuutila1_iterative
259;10000;69999998;1;1329545216;1330192384;647168;nuutila1_iterative
260;10000;999999;1;39342080;39989248;647168;nuutila1_iterative
261;10000;20000000;1;428769280;432025600;3256320;pearce1
262;10000;69999998;1;1339150336;1342402560;3252224;pearce1
263;10000;999999;1;36753408;39985152;3231744;pearce1
264;10000;20000000;1;431194112;434552832;3358720;nuutila2
265;10000;69999998;1;1345429504;1348784128;3354624;nuutila2
266;10000;999999;1;35282944;38674432;3391488;nuutila2
267;10000;20000000;1;422518784;425775104;3256320;nuutila1
268;10000;69999998;1;1340026880;1343291392;3264512;nuutila1
269;10000;999999;1;38436864;41701376;3264512;nuutila1
270;10000;20000000;1;428896256;431812608;2916352;pearce2
271;10000;69999998;1;1345642496;1348575232;2932736;pearce2
272;10000;999999;1;37371904;40275968;2904064;pearce2
273;10000;20000000;1;427515904;429924352;2408448;tarjan
274;10000;69999998;1;1322364928;1324535808;2170880;tarjan
275;10000;999999;1;37044224;39170048;2125824;tarjan
276;10000;20000000;1;425259008;425955328;696320;nuutila2_iterative
277;10000;69999998;1;1334288384;1334906880;618496;nuutila2_iterative
278;10000;999999;1;37781504;38453248;671744;nuutila2_iterative
279;10000;20000000;1;432013312;432672768;659456;pearce2_iterative
280;10000;69999998;1;1336619008;1337290752;671744;pearce2_iterative
281;10000;999999;1;37425152;38002688;577536;pearce2_iterative
282;10000;20000000;1;424497152;426434560;1937408;boost
283;10000;69999998;1;1331134464;1332842496;1708032;boost
284;10000;999999;1;39456768;41496576;2039808;boost
285;10000;20000000;1;426090496;426749952;659456;nuutila1_iterative
