V,E,sccs,boost,boostCorrected,tarjan_map,tarjan_mapCorrected,nuutila1_map,nuutila1_mapCorrected,nuutila1_iterative,nuutila1_iterativeCorrected,nuutila2_map,nuutila2_mapCorrected,nuutila2_iterative,nuutila2_iterativeCorrected,pearce1_map,pearce1_mapCorrected,pearce2_map,pearce2_mapCorrected,pearce2_iterative,pearce2_iterativeCorrected
8,9,7,1,v,1,v,1,v,1,v,1,X,2,X,1,v,0,v,1,v
8,10,3,1,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
8,12,3,1,v,1,v,1,v,2,v,1,v,2,X,1,v,0,v,2,v
8,13,8,1,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
8,14,5,1,v,1,v,1,v,2,v,1,X,2,X,1,v,0,v,2,v
8,15,5,1,v,1,v,1,v,1,v,1,X,2,X,1,v,0,v,2,v
8,17,1,1,v,1,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
8,18,3,1,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
9,0,9,1,v,1,v,1,v,1,v,0,v,1,X,0,v,0,v,1,v
9,2,9,1,v,1,v,1,v,1,v,1,v,1,X,0,v,0,v,1,v
9,4,9,1,v,1,v,1,v,1,v,1,v,1,X,0,v,0,v,1,v
9,5,8,1,v,1,v,1,v,1,v,1,X,1,X,0,v,0,v,1,v
9,7,9,1,v,1,v,1,v,1,v,1,v,1,X,0,v,0,v,1,v
9,8,5,1,v,1,v,1,v,1,v,1,X,2,X,1,v,0,v,1,v
9,10,7,1,v,1,v,1,v,1,v,1,X,2,X,1,v,0,v,2,v
9,12,6,1,v,1,v,1,v,2,v,1,X,2,X,1,v,0,v,2,v
9,13,7,1,v,1,v,1,v,1,v,1,X,2,X,1,v,0,v,2,v
9,15,3,1,v,1,v,1,v,1,v,1,v,2,X,1,v,1,v,2,v
9,17,4,1,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
9,18,2,1,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
9,20,4,1,v,2,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
9,21,3,1,v,1,v,1,v,2,v,1,X,2,X,1,v,0,v,2,v
9,23,2,1,v,1,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
10,0,10,1,v,1,v,1,v,1,v,0,v,1,X,0,v,0,v,1,v
10,2,10,1,v,1,v,1,v,1,v,1,v,1,X,0,v,0,v,1,v
10,4,10,1,v,1,v,1,v,1,v,1,v,1,X,0,v,0,v,1,v
10,6,9,1,v,1,v,1,v,1,v,1,X,2,X,1,v,0,v,1,v
10,8,10,1,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
10,10,7,1,v,1,v,1,v,1,v,1,X,2,X,1,v,1,v,1,v
10,12,10,1,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,2,v
10,14,8,1,v,1,v,1,v,2,v,1,X,2,X,1,v,0,v,2,v
